Aggregated Community-Scale Utility Energy Data,,,,,
,,,,,
Municipality,County,Municipality,Year,Total Residential Electricity,Total Residential Natural Gas
Denville township,Morris,"Denville township, Morris County",2019,61153880,5375168
Denville township,Morris,"Denville township, Morris County",2020,63239632,5113230
Denville township,Morris,"Denville township, Morris County",2021,64072985,5164564
Deptford township,Gloucester,"Deptford township, Gloucester County",2015,91532163,8098199
Deptford township,Gloucester,"Deptford township, Gloucester County",2016,91375273,7041277
Deptford township,Gloucester,"Deptford township, Gloucester County",2017,86160544,7085882
Deptford township,Gloucester,"Deptford township, Gloucester County",2018,89389197,8106883
Deptford township,Gloucester,"Deptford township, Gloucester County",2019,86463189,7811543
Deptford township,Gloucester,"Deptford township, Gloucester County",2020,87372405,7087646
Deptford township,Gloucester,"Deptford township, Gloucester County",2021,88228690,7536693
Dover town,Morris,"Dover town, Morris County",2015,40585425,3923249
Dover town,Morris,"Dover town, Morris County",2016,NDA,3424628
Dover town,Morris,"Dover town, Morris County",2017,NDA,3557746
Dover town,Morris,"Dover town, Morris County",2018,39929004,4231701
Dover town,Morris,"Dover town, Morris County",2019,38653754,4152285
Dover town,Morris,"Dover town, Morris County",2020,40103884,3667119
Dover town,Morris,"Dover town, Morris County",2021,40423625,3976772
Downe township,Cumberland,"Downe township, Cumberland County",2015,7041354,216499
Downe township,Cumberland,"Downe township, Cumberland County",2016,6509940,201626
Downe township,Cumberland,"Downe township, Cumberland County",2017,6015930,190128
Downe township,Cumberland,"Downe township, Cumberland County",2018,6290211,213066
Downe township,Cumberland,"Downe township, Cumberland County",2019,6113354,223433
Downe township,Cumberland,"Downe township, Cumberland County",2020,5769234,169757
Downe township,Cumberland,"Downe township, Cumberland County",2021,6250246,218280
Dumont borough,Bergen,"Dumont borough, Bergen County",2015,49757054,5766430
Dumont borough,Bergen,"Dumont borough, Bergen County",2016,48822550,4768091
Dumont borough,Bergen,"Dumont borough, Bergen County",2017,46296898,4962939
Dumont borough,Bergen,"Dumont borough, Bergen County",2018,49052688,5590804
Dumont borough,Bergen,"Dumont borough, Bergen County",2019,46156546,5410275
Dumont borough,Bergen,"Dumont borough, Bergen County",2020,48684542,4974825
Dumont borough,Bergen,"Dumont borough, Bergen County",2021,48431552,5256588
Dunellen borough,Middlesex,"Dunellen borough, Middlesex County",2015,18941024,2083251
Dunellen borough,Middlesex,"Dunellen borough, Middlesex County",2016,19156467,1912844
Dunellen borough,Middlesex,"Dunellen borough, Middlesex County",2017,17686965,1831826
Dunellen borough,Middlesex,"Dunellen borough, Middlesex County",2018,19380571,2221607
Dunellen borough,Middlesex,"Dunellen borough, Middlesex County",2019,18365905,2092038
Dunellen borough,Middlesex,"Dunellen borough, Middlesex County",2020,18891423,1942644
Dunellen borough,Middlesex,"Dunellen borough, Middlesex County",2021,19171831,2072922
Eagleswood township,Ocean,"Eagleswood township, Ocean County",2015,9032179,510312
Eagleswood township,Ocean,"Eagleswood township, Ocean County",2016,8597257,431319
Eagleswood township,Ocean,"Eagleswood township, Ocean County",2017,8118968,450637
Eagleswood township,Ocean,"Eagleswood township, Ocean County",2018,8588193,533385
Eagleswood township,Ocean,"Eagleswood township, Ocean County",2019,8084307,494163
Eagleswood township,Ocean,"Eagleswood township, Ocean County",2020,8289590,474629
Eagleswood township,Ocean,"Eagleswood township, Ocean County",2021,8292415,497732
East Amwell township,Hunterdon,"East Amwell township, Hunterdon County",2015,20817183,199315
East Amwell township,Hunterdon,"East Amwell township, Hunterdon County",2016,579363,213200
East Amwell township,Hunterdon,"East Amwell township, Hunterdon County",2017,558615,220666
East Amwell township,Hunterdon,"East Amwell township, Hunterdon County",2018,20473611,255103
East Amwell township,Hunterdon,"East Amwell township, Hunterdon County",2019,19998233,230089
East Amwell township,Hunterdon,"East Amwell township, Hunterdon County",2020,20260832,364389
East Amwell township,Hunterdon,"East Amwell township, Hunterdon County",2021,21013443,460501
East Brunswick township,Middlesex,"East Brunswick township, Middlesex County",2015,145986052,15706544
East Brunswick township,Middlesex,"East Brunswick township, Middlesex County",2016,108092051,13433873
East Brunswick township,Middlesex,"East Brunswick township, Middlesex County",2017,102396430,14105274
East Brunswick township,Middlesex,"East Brunswick township, Middlesex County",2018,145107434,16415780
East Brunswick township,Middlesex,"East Brunswick township, Middlesex County",2019,137371004,14866374
East Brunswick township,Middlesex,"East Brunswick township, Middlesex County",2020,143494401,13736175
East Brunswick township,Middlesex,"East Brunswick township, Middlesex County",2021,145374858,14675009
East Greenwich township,Gloucester,"East Greenwich township, Gloucester County",2015,41015708,2557245
East Greenwich township,Gloucester,"East Greenwich township, Gloucester County",2016,42021510,2269251
East Greenwich township,Gloucester,"East Greenwich township, Gloucester County",2017,39751596,2433533
East Greenwich township,Gloucester,"East Greenwich township, Gloucester County",2018,40383742,2629054
East Greenwich township,Gloucester,"East Greenwich township, Gloucester County",2019,40257325,2631081
East Greenwich township,Gloucester,"East Greenwich township, Gloucester County",2020,40628163,2464531
East Greenwich township,Gloucester,"East Greenwich township, Gloucester County",2021,41122606,2708282
East Hanover township,Morris,"East Hanover township, Morris County",2015,41273659,5325200
East Hanover township,Morris,"East Hanover township, Morris County",2016,NDA,5084562
East Hanover township,Morris,"East Hanover township, Morris County",2017,NDA,4906044
East Hanover township,Morris,"East Hanover township, Morris County",2018,43844570,5144349
East Hanover township,Morris,"East Hanover township, Morris County",2019,41603675,5076030
East Hanover township,Morris,"East Hanover township, Morris County",2020,42018141,4641869
East Hanover township,Morris,"East Hanover township, Morris County",2021,42224446,4756687
East Newark borough,Hudson,"East Newark borough, Hudson County",2015,4470778,552006
East Newark borough,Hudson,"East Newark borough, Hudson County",2016,4456680,493179
East Newark borough,Hudson,"East Newark borough, Hudson County",2017,4276978,511892
East Newark borough,Hudson,"East Newark borough, Hudson County",2018,4511191,574560
East Newark borough,Hudson,"East Newark borough, Hudson County",2019,4248957,561161
East Newark borough,Hudson,"East Newark borough, Hudson County",2020,4418829,507386
East Newark borough,Hudson,"East Newark borough, Hudson County",2021,4357659,518277
East Orange city,Essex,"East Orange city, Essex County",2015,121008012,14287201
East Orange city,Essex,"East Orange city, Essex County",2016,120421742,12363036
East Orange city,Essex,"East Orange city, Essex County",2017,117511968,13047882
East Orange city,Essex,"East Orange city, Essex County",2018,125648940,14895132
East Orange city,Essex,"East Orange city, Essex County",2019,126081501,14614242
East Orange city,Essex,"East Orange city, Essex County",2020,132012143,13555519
East Orange city,Essex,"East Orange city, Essex County",2021,135902339,14552572
East Rutherford borough,Bergen,"East Rutherford borough, Bergen County",2015,26596901,2281443
East Rutherford borough,Bergen,"East Rutherford borough, Bergen County",2016,26476083,1943817
East Rutherford borough,Bergen,"East Rutherford borough, Bergen County",2017,25546089,2086574
East Rutherford borough,Bergen,"East Rutherford borough, Bergen County",2018,26964034,2368767
East Rutherford borough,Bergen,"East Rutherford borough, Bergen County",2019,25516762,2249056
East Rutherford borough,Bergen,"East Rutherford borough, Bergen County",2020,26629716,2035462
East Rutherford borough,Bergen,"East Rutherford borough, Bergen County",2021,27397557,2198609
East Windsor township,Mercer,"East Windsor township, Mercer County",2015,81700296,6475826
East Windsor township,Mercer,"East Windsor township, Mercer County",2016,4365,5471612
East Windsor township,Mercer,"East Windsor township, Mercer County",2017,8751,5847027
East Windsor township,Mercer,"East Windsor township, Mercer County",2018,80327998,6672724
East Windsor township,Mercer,"East Windsor township, Mercer County",2019,77950314,6226159
East Windsor township,Mercer,"East Windsor township, Mercer County",2020,79118574,5733426
East Windsor township,Mercer,"East Windsor township, Mercer County",2021,80026040,6164912
Eastampton township,Burlington,"Eastampton township, Burlington County",2015,21266485,1349632
Eastampton township,Burlington,"Eastampton township, Burlington County",2016,20915447,1114412
Eastampton township,Burlington,"Eastampton township, Burlington County",2017,19878714,1170028
Eastampton township,Burlington,"Eastampton township, Burlington County",2018,21504542,1370259
Eastampton township,Burlington,"Eastampton township, Burlington County",2019,20966651,1313654
Eastampton township,Burlington,"Eastampton township, Burlington County",2020,21978386,1257029
Eastampton township,Burlington,"Eastampton township, Burlington County",2021,23544435,1396743
Eatontown borough,Monmouth,"Eatontown borough, Monmouth County",2015,48465270,2745590
Eatontown borough,Monmouth,"Eatontown borough, Monmouth County",2016,NDA,2413346
Eatontown borough,Monmouth,"Eatontown borough, Monmouth County",2017,NDA,2502577
Eatontown borough,Monmouth,"Eatontown borough, Monmouth County",2018,48751263,2796876
Eatontown borough,Monmouth,"Eatontown borough, Monmouth County",2019,47840742,2679977
Eatontown borough,Monmouth,"Eatontown borough, Monmouth County",2020,47039450,2223638
Eatontown borough,Monmouth,"Eatontown borough, Monmouth County",2021,48748751,2385016
Edgewater borough,Bergen,"Edgewater borough, Bergen County",2015,44708879,1830903
Edgewater borough,Bergen,"Edgewater borough, Bergen County",2016,44608030,1669016
Edgewater borough,Bergen,"Edgewater borough, Bergen County",2017,44321950,1749823
Edgewater borough,Bergen,"Edgewater borough, Bergen County",2018,48162132,2016331
Edgewater borough,Bergen,"Edgewater borough, Bergen County",2019,46474324,1962843
Edgewater borough,Bergen,"Edgewater borough, Bergen County",2020,46684653,1774366
Edgewater borough,Bergen,"Edgewater borough, Bergen County",2021,47440079,1890030
Edgewater Park township,Burlington,"Edgewater Park township, Burlington County",2015,27868306,2354349
Edgewater Park township,Burlington,"Edgewater Park township, Burlington County",2016,27743348,2055893
Edgewater Park township,Burlington,"Edgewater Park township, Burlington County",2017,25884386,2098147
Edgewater Park township,Burlington,"Edgewater Park township, Burlington County",2018,27730832,2427358
Edgewater Park township,Burlington,"Edgewater Park township, Burlington County",2019,26880152,2277725
Edgewater Park township,Burlington,"Edgewater Park township, Burlington County",2020,27006147,2058095
Edgewater Park township,Burlington,"Edgewater Park township, Burlington County",2021,27526054,2218536
Edison township,Middlesex,"Edison township, Middlesex County",2015,259980328,25320158
Edison township,Middlesex,"Edison township, Middlesex County",2016,259624220,24798246
Edison township,Middlesex,"Edison township, Middlesex County",2017,244659069,25811812
Edison township,Middlesex,"Edison township, Middlesex County",2018,254533870,28866930
Edison township,Middlesex,"Edison township, Middlesex County",2019,241683384,26883161
Edison township,Middlesex,"Edison township, Middlesex County",2020,251745503,34070072
Edison township,Middlesex,"Edison township, Middlesex County",2021,254420154,40055144
Egg Harbor City city,Atlantic,"Egg Harbor City city, Atlantic County",2015,19545943,1037594
Egg Harbor City city,Atlantic,"Egg Harbor City city, Atlantic County",2016,18221257,877807
Egg Harbor City city,Atlantic,"Egg Harbor City city, Atlantic County",2017,16921131,907961
Egg Harbor City city,Atlantic,"Egg Harbor City city, Atlantic County",2018,18333308,1088156
Egg Harbor City city,Atlantic,"Egg Harbor City city, Atlantic County",2019,17539519,1032586
Egg Harbor City city,Atlantic,"Egg Harbor City city, Atlantic County",2020,18141195,986319
Egg Harbor City city,Atlantic,"Egg Harbor City city, Atlantic County",2021,18733831,1079484
Egg Harbor township,Atlantic,"Egg Harbor township, Atlantic County",2015,117546600,12049200
Egg Harbor township,Atlantic,"Egg Harbor township, Atlantic County",2016,111120957,9982268
Egg Harbor township,Atlantic,"Egg Harbor township, Atlantic County",2017,103433850,10361085
Egg Harbor township,Atlantic,"Egg Harbor township, Atlantic County",2018,113202201,12294627
Egg Harbor township,Atlantic,"Egg Harbor township, Atlantic County",2019,107040149,11307319
Egg Harbor township,Atlantic,"Egg Harbor township, Atlantic County",2020,104295333,10690863
Egg Harbor township,Atlantic,"Egg Harbor township, Atlantic County",2021,106636654,11374913
Elizabeth city,Union,"Elizabeth city, Union County",2015,231590862,22749020
Elizabeth city,Union,"Elizabeth city, Union County",2016,231712939,23607752
Elizabeth city,Union,"Elizabeth city, Union County",2017,231608229,24955509
Elizabeth city,Union,"Elizabeth city, Union County",2018,238200220,28248999
Elizabeth city,Union,"Elizabeth city, Union County",2019,230291433,26316253
Elizabeth city,Union,"Elizabeth city, Union County",2020,239561169,40212953
Elizabeth city,Union,"Elizabeth city, Union County",2021,241075827,50556714
Elk township,Gloucester,"Elk township, Gloucester County",2015,4346611,436213
Elk township,Gloucester,"Elk township, Gloucester County",2016,4140600,408247
Elk township,Gloucester,"Elk township, Gloucester County",2017,3970991,492931
Elk township,Gloucester,"Elk township, Gloucester County",2018,4244672,630549
Elk township,Gloucester,"Elk township, Gloucester County",2019,3967131,624720
Elk township,Gloucester,"Elk township, Gloucester County",2020,3908562,584325
Elk township,Gloucester,"Elk township, Gloucester County",2021,3942716,641640
Elmer borough,Salem,"Elmer borough, Salem County",2015,32389921,323139
Elmer borough,Salem,"Elmer borough, Salem County",2016,30597965,272149
Elmer borough,Salem,"Elmer borough, Salem County",2017,28433402,282261
Elmer borough,Salem,"Elmer borough, Salem County",2018,29533827,340360
Elmer borough,Salem,"Elmer borough, Salem County",2019,28160254,314393
Elmer borough,Salem,"Elmer borough, Salem County",2020,28846477,295435
Elmer borough,Salem,"Elmer borough, Salem County",2021,28887720,320982
Elmwood Park borough,Bergen,"Elmwood Park borough, Bergen County",2015,52286546,5470553
Elmwood Park borough,Bergen,"Elmwood Park borough, Bergen County",2016,52379655,5000714
Elmwood Park borough,Bergen,"Elmwood Park borough, Bergen County",2017,49265633,5046926
Elmwood Park borough,Bergen,"Elmwood Park borough, Bergen County",2018,51990915,5668063
Elmwood Park borough,Bergen,"Elmwood Park borough, Bergen County",2019,49393256,5507736
Elmwood Park borough,Bergen,"Elmwood Park borough, Bergen County",2020,51981410,5062789
Elmwood Park borough,Bergen,"Elmwood Park borough, Bergen County",2021,50784873,5167061
Elsinboro township,Salem,"Elsinboro township, Salem County",2015,235813,NDA
Elsinboro township,Salem,"Elsinboro township, Salem County",2016,233209,265
Elsinboro township,Salem,"Elsinboro township, Salem County",2017,245332,289
Elsinboro township,Salem,"Elsinboro township, Salem County",2018,290542,372
Elsinboro township,Salem,"Elsinboro township, Salem County",2019,264824,342
Elsinboro township,Salem,"Elsinboro township, Salem County",2020,263178,329
Elsinboro township,Salem,"Elsinboro township, Salem County",2021,260016,345
Emerson borough,Bergen,"Emerson borough, Bergen County",2015,25457003,2895789
Emerson borough,Bergen,"Emerson borough, Bergen County",2016,25197191,2661079
Emerson borough,Bergen,"Emerson borough, Bergen County",2017,23706652,2622079
Emerson borough,Bergen,"Emerson borough, Bergen County",2018,25156797,2898444
Emerson borough,Bergen,"Emerson borough, Bergen County",2019,23629371,2802396
Emerson borough,Bergen,"Emerson borough, Bergen County",2020,25018646,2581162
Emerson borough,Bergen,"Emerson borough, Bergen County",2021,24398065,2676378
Englewood city,Bergen,"Englewood city, Bergen County",2015,88804191,9477341
Englewood city,Bergen,"Englewood city, Bergen County",2016,88909923,8587684
Englewood city,Bergen,"Englewood city, Bergen County",2017,85465787,8757139
Englewood city,Bergen,"Englewood city, Bergen County",2018,90194952,9558849
Englewood city,Bergen,"Englewood city, Bergen County",2019,86443780,9363749
Englewood city,Bergen,"Englewood city, Bergen County",2020,90292049,8603392
Englewood city,Bergen,"Englewood city, Bergen County",2021,90162823,8965745
Englewood Cliffs borough,Bergen,"Englewood Cliffs borough, Bergen County",2015,26151777,3746577
Englewood Cliffs borough,Bergen,"Englewood Cliffs borough, Bergen County",2016,26234819,3316733
Englewood Cliffs borough,Bergen,"Englewood Cliffs borough, Bergen County",2017,24824717,3388794
Englewood Cliffs borough,Bergen,"Englewood Cliffs borough, Bergen County",2018,26128397,3865749
Englewood Cliffs borough,Bergen,"Englewood Cliffs borough, Bergen County",2019,24854635,3715423
Englewood Cliffs borough,Bergen,"Englewood Cliffs borough, Bergen County",2020,26000926,3417754
Englewood Cliffs borough,Bergen,"Englewood Cliffs borough, Bergen County",2021,25888024,3516558
Englishtown borough,Monmouth,"Englishtown borough, Monmouth County",2015,9595789,705228
Englishtown borough,Monmouth,"Englishtown borough, Monmouth County",2016,NDA,596718
Englishtown borough,Monmouth,"Englishtown borough, Monmouth County",2017,NDA,631935
Englishtown borough,Monmouth,"Englishtown borough, Monmouth County",2018,9193554,714850
Englishtown borough,Monmouth,"Englishtown borough, Monmouth County",2019,8676061,687987
Englishtown borough,Monmouth,"Englishtown borough, Monmouth County",2020,9013515,670241
Englishtown borough,Monmouth,"Englishtown borough, Monmouth County",2021,9322980,673213
Essex Fells borough,Essex,"Essex Fells borough, Essex County",2015,12885634,1727225
Essex Fells borough,Essex,"Essex Fells borough, Essex County",2016,12838548,1588447
Essex Fells borough,Essex,"Essex Fells borough, Essex County",2017,12278197,1613013
Essex Fells borough,Essex,"Essex Fells borough, Essex County",2018,12980203,1774795
Essex Fells borough,Essex,"Essex Fells borough, Essex County",2019,12496646,1710023
Essex Fells borough,Essex,"Essex Fells borough, Essex County",2020,13033365,1588449
Essex Fells borough,Essex,"Essex Fells borough, Essex County",2021,13035793,1610375
Estell Manor city,Atlantic,"Estell Manor city, Atlantic County",2015,7897619,48231
Estell Manor city,Atlantic,"Estell Manor city, Atlantic County",2016,7371545,41867
Estell Manor city,Atlantic,"Estell Manor city, Atlantic County",2017,6902295,40080
Estell Manor city,Atlantic,"Estell Manor city, Atlantic County",2018,7336133,49440
Estell Manor city,Atlantic,"Estell Manor city, Atlantic County",2019,7059089,44594
Estell Manor city,Atlantic,"Estell Manor city, Atlantic County",2020,6798875,45540
Estell Manor city,Atlantic,"Estell Manor city, Atlantic County",2021,7183623,48841
Evesham township,Burlington,"Evesham township, Burlington County",2015,181417853,12500106
Evesham township,Burlington,"Evesham township, Burlington County",2016,177176572,10516747
Evesham township,Burlington,"Evesham township, Burlington County",2017,166995622,10827188
Evesham township,Burlington,"Evesham township, Burlington County",2018,173829475,12405038
Evesham township,Burlington,"Evesham township, Burlington County",2019,168321995,11790084
Evesham township,Burlington,"Evesham township, Burlington County",2020,172304714,10907970
Evesham township,Burlington,"Evesham township, Burlington County",2021,174112925,11809690
Ewing township,Mercer,"Ewing township, Mercer County",2015,106275418,9349447
Ewing township,Mercer,"Ewing township, Mercer County",2016,106771590,8562011
Ewing township,Mercer,"Ewing township, Mercer County",2017,101930847,8801205
Ewing township,Mercer,"Ewing township, Mercer County",2018,107614599,9436480
Ewing township,Mercer,"Ewing township, Mercer County",2019,104151010,9259211
Ewing township,Mercer,"Ewing township, Mercer County",2020,108731239,8601385
Ewing township,Mercer,"Ewing township, Mercer County",2021,111006018,9048288
Fair Haven borough,Monmouth,"Fair Haven borough, Monmouth County",2015,27079025,2405002
Fair Haven borough,Monmouth,"Fair Haven borough, Monmouth County",2016,NDA,2228599
Fair Haven borough,Monmouth,"Fair Haven borough, Monmouth County",2017,NDA,2260823
Fair Haven borough,Monmouth,"Fair Haven borough, Monmouth County",2018,26899452,2557392
Fair Haven borough,Monmouth,"Fair Haven borough, Monmouth County",2019,25990280,2467951
Fair Haven borough,Monmouth,"Fair Haven borough, Monmouth County",2020,26695625,2353221
Fair Haven borough,Monmouth,"Fair Haven borough, Monmouth County",2021,27800891,2399378
Fair Lawn borough,Bergen,"Fair Lawn borough, Bergen County",2015,97497460,11569662
Fair Lawn borough,Bergen,"Fair Lawn borough, Bergen County",2016,97124146,10324410
Fair Lawn borough,Bergen,"Fair Lawn borough, Bergen County",2017,91432826,10459750
Fair Lawn borough,Bergen,"Fair Lawn borough, Bergen County",2018,96518412,11797032
Fair Lawn borough,Bergen,"Fair Lawn borough, Bergen County",2019,91070432,11288570
Fair Lawn borough,Bergen,"Fair Lawn borough, Bergen County",2020,97155612,10464974
Fair Lawn borough,Bergen,"Fair Lawn borough, Bergen County",2021,96115088,10783606
Fairfield township,Cumberland,"Fairfield township, Cumberland County",2015,5156965,411028
Fairfield township,Cumberland,"Fairfield township, Cumberland County",2016,4717147,377331
Fairfield township,Cumberland,"Fairfield township, Cumberland County",2017,4240293,363157
Fairfield township,Cumberland,"Fairfield township, Cumberland County",2018,4244648,437904
Fairfield township,Cumberland,"Fairfield township, Cumberland County",2019,4020109,411609
Fairfield township,Cumberland,"Fairfield township, Cumberland County",2020,4043244,394346
Fairfield township,Cumberland,"Fairfield township, Cumberland County",2021,4118745,453917
Fairfield township,Essex,"Fairfield township, Essex County",2015,31359443,3464039
Fairfield township,Essex,"Fairfield township, Essex County",2016,30375820,2980125
Fairfield township,Essex,"Fairfield township, Essex County",2017,29546924,3294157
Fairfield township,Essex,"Fairfield township, Essex County",2018,30934467,3600965
Fairfield township,Essex,"Fairfield township, Essex County",2019,29801499,3592787
Fairfield township,Essex,"Fairfield township, Essex County",2020,30864759,3237974
Fairfield township,Essex,"Fairfield township, Essex County",2021,30872884,3319558
Fairview borough,Bergen,"Fairview borough, Bergen County",2015,28138027,2958036
Fairview borough,Bergen,"Fairview borough, Bergen County",2016,28053964,2739054
Fairview borough,Bergen,"Fairview borough, Bergen County",2017,26546703,2796132
Fairview borough,Bergen,"Fairview borough, Bergen County",2018,27993940,3113751
Fairview borough,Bergen,"Fairview borough, Bergen County",2019,26716689,3014850
Fairview borough,Bergen,"Fairview borough, Bergen County",2020,28442584,2811098
Fairview borough,Bergen,"Fairview borough, Bergen County",2021,28445518,2877384
Fanwood borough,Union,"Fanwood borough, Union County",2015,24222724,2163820
Fanwood borough,Union,"Fanwood borough, Union County",2016,24089257,2199532
Fanwood borough,Union,"Fanwood borough, Union County",2017,23473117,2323399
Fanwood borough,Union,"Fanwood borough, Union County",2018,24246454,2633326
Fanwood borough,Union,"Fanwood borough, Union County",2019,23446349,2530078
Fanwood borough,Union,"Fanwood borough, Union County",2020,24562437,3351781
Fanwood borough,Union,"Fanwood borough, Union County",2021,24523190,4811173
Far Hills borough,Somerset,"Far Hills borough, Somerset County",2015,7821899,481897
Far Hills borough,Somerset,"Far Hills borough, Somerset County",2016,NDA,424411
Far Hills borough,Somerset,"Far Hills borough, Somerset County",2017,NDA,455291
Far Hills borough,Somerset,"Far Hills borough, Somerset County",2018,7857575,528727
Far Hills borough,Somerset,"Far Hills borough, Somerset County",2019,7468446,467476
Far Hills borough,Somerset,"Far Hills borough, Somerset County",2020,7567188,468253
Far Hills borough,Somerset,"Far Hills borough, Somerset County",2021,7943582,486166
Farmingdale borough,Monmouth,"Farmingdale borough, Monmouth County",2015,5501494,436032
Farmingdale borough,Monmouth,"Farmingdale borough, Monmouth County",2016,NDA,368884
Farmingdale borough,Monmouth,"Farmingdale borough, Monmouth County",2017,NDA,399839
Farmingdale borough,Monmouth,"Farmingdale borough, Monmouth County",2018,5631628,451940
Farmingdale borough,Monmouth,"Farmingdale borough, Monmouth County",2019,5443355,439038
Farmingdale borough,Monmouth,"Farmingdale borough, Monmouth County",2020,5562784,402120
Farmingdale borough,Monmouth,"Farmingdale borough, Monmouth County",2021,5776145,419500
Fieldsboro borough,Burlington,"Fieldsboro borough, Burlington County",2015,2013705,157918
Fieldsboro borough,Burlington,"Fieldsboro borough, Burlington County",2016,1984591,140429
Fieldsboro borough,Burlington,"Fieldsboro borough, Burlington County",2017,1906345,142366
Fieldsboro borough,Burlington,"Fieldsboro borough, Burlington County",2018,2084683,168092
Fieldsboro borough,Burlington,"Fieldsboro borough, Burlington County",2019,1940174,163435
Fieldsboro borough,Burlington,"Fieldsboro borough, Burlington County",2020,1937601,142258
Fieldsboro borough,Burlington,"Fieldsboro borough, Burlington County",2021,2001409,155420
Flemington borough,Hunterdon,"Flemington borough, Hunterdon County",2015,15380408,796321
Flemington borough,Hunterdon,"Flemington borough, Hunterdon County",2016,NDA,861712
Flemington borough,Hunterdon,"Flemington borough, Hunterdon County",2017,NDA,897343
Flemington borough,Hunterdon,"Flemington borough, Hunterdon County",2018,17203055,1037363
Flemington borough,Hunterdon,"Flemington borough, Hunterdon County",2019,15690917,967535
Flemington borough,Hunterdon,"Flemington borough, Hunterdon County",2020,16686354,1472348
Flemington borough,Hunterdon,"Flemington borough, Hunterdon County",2021,17873181,1932896
Florence township,Burlington,"Florence township, Burlington County",2015,43163959,3452330
Florence township,Burlington,"Florence township, Burlington County",2016,42243923,2859097
Florence township,Burlington,"Florence township, Burlington County",2017,39920931,3018289
Florence township,Burlington,"Florence township, Burlington County",2018,42501936,3498693
Florence township,Burlington,"Florence township, Burlington County",2019,40982167,3230579
Florence township,Burlington,"Florence township, Burlington County",2020,41979936,2967692
Florence township,Burlington,"Florence township, Burlington County",2021,42720689,3230421
Florham Park borough,Morris,"Florham Park borough, Morris County",2015,46067595,4708390
Florham Park borough,Morris,"Florham Park borough, Morris County",2016,NDA,NDA
Florham Park borough,Morris,"Florham Park borough, Morris County",2017,NDA,4341758
Florham Park borough,Morris,"Florham Park borough, Morris County",2018,43569510,4894444
Florham Park borough,Morris,"Florham Park borough, Morris County",2019,42496755,4758847
Florham Park borough,Morris,"Florham Park borough, Morris County",2020,44216199,4430454
Florham Park borough,Morris,"Florham Park borough, Morris County",2021,45824556,4729204
Folsom borough,Atlantic,"Folsom borough, Atlantic County",2015,4578456,256520
Folsom borough,Atlantic,"Folsom borough, Atlantic County",2016,4383822,231582
Folsom borough,Atlantic,"Folsom borough, Atlantic County",2017,4110174,228838
Folsom borough,Atlantic,"Folsom borough, Atlantic County",2018,4407025,309990
Folsom borough,Atlantic,"Folsom borough, Atlantic County",2019,4082735,306657
Folsom borough,Atlantic,"Folsom borough, Atlantic County",2020,4042155,296220
Folsom borough,Atlantic,"Folsom borough, Atlantic County",2021,4141572,310659
Fort Lee borough,Bergen,"Fort Lee borough, Bergen County",2015,91092048,6233738
Fort Lee borough,Bergen,"Fort Lee borough, Bergen County",2016,90845024,5702254
Fort Lee borough,Bergen,"Fort Lee borough, Bergen County",2017,89796123,5844075
Fort Lee borough,Bergen,"Fort Lee borough, Bergen County",2018,96474812,6524594
Fort Lee borough,Bergen,"Fort Lee borough, Bergen County",2019,92630087,6327608
Fort Lee borough,Bergen,"Fort Lee borough, Bergen County",2020,96024894,5751407
Fort Lee borough,Bergen,"Fort Lee borough, Bergen County",2021,97959846,6053359
Frankford township,Sussex,"Frankford township, Sussex County",2015,16324576,68605
Frankford township,Sussex,"Frankford township, Sussex County",2016,NDA,72363
Frankford township,Sussex,"Frankford township, Sussex County",2017,NDA,127778
Frankford township,Sussex,"Frankford township, Sussex County",2018,17829211,198925
Frankford township,Sussex,"Frankford township, Sussex County",2019,17430939,207986
Frankford township,Sussex,"Frankford township, Sussex County",2020,17376794,303672
Frankford township,Sussex,"Frankford township, Sussex County",2021,17996338,441741
Franklin borough,Sussex,"Franklin borough, Sussex County",2015,20179586,143320
Franklin borough,Sussex,"Franklin borough, Sussex County",2016,NDA,148901
Franklin borough,Sussex,"Franklin borough, Sussex County",2017,NDA,162906
Franklin borough,Sussex,"Franklin borough, Sussex County",2018,18657171,185272
Franklin borough,Sussex,"Franklin borough, Sussex County",2019,18255211,192234
Franklin borough,Sussex,"Franklin borough, Sussex County",2020,18509943,309015
Franklin borough,Sussex,"Franklin borough, Sussex County",2021,18872786,339442
Franklin Lakes borough,Bergen,"Franklin Lakes borough, Bergen County",2015,70384860,9041408
Franklin Lakes borough,Bergen,"Franklin Lakes borough, Bergen County",2016,70188627,7616516
Franklin Lakes borough,Bergen,"Franklin Lakes borough, Bergen County",2017,66155871,8314670
Franklin Lakes borough,Bergen,"Franklin Lakes borough, Bergen County",2018,69683749,9059082
Franklin Lakes borough,Bergen,"Franklin Lakes borough, Bergen County",2019,66889191,8950817
Franklin Lakes borough,Bergen,"Franklin Lakes borough, Bergen County",2020,70940789,8598490
Franklin Lakes borough,Bergen,"Franklin Lakes borough, Bergen County",2021,71312354,9001168
Franklin township,Gloucester,"Franklin township, Gloucester County",2015,59887127,2284473
Franklin township,Gloucester,"Franklin township, Gloucester County",2016,56587215,2076323
Franklin township,Gloucester,"Franklin township, Gloucester County",2017,52979400,2253175
Franklin township,Gloucester,"Franklin township, Gloucester County",2018,56278453,2769189
Franklin township,Gloucester,"Franklin township, Gloucester County",2019,52958821,2575626
